"","Gene11","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene33","Gene34","Gene35","Gene42","Gene43","Gene82","Gene85","Gene87","Gene88","Gene89","Gene90","Gene92","Gene94","Gene95","Gene96","Gene97","Gene98","Gene117","Gene121","Gene122","Gene125","Gene139","Gene140","Gene143","Gene147","Gene152","Gene155","Gene161","Gene165","Gene192","Gene194","Gene233","Gene272","Gene351","Gene414","Gene425","Gene586","Gene602","Gene614","Gene629","Gene659","Gene697","Gene791","Gene819","Gene826","Gene829","Gene966","Gene1000","Gene1026","Gene1076","Gene1107","Gene1111","Gene1139","Gene1171","Gene1206","Gene1374","Gene1429","Gene1431","Gene1439","Gene1492","Gene1509","Gene1607","Gene1628","Gene1657","Gene1695","Gene1714","Gene1753","Gene1755","Gene1829","Gene1873","Gene1902","Gene1939","Gene1941"
"Cell1",0,52,0,15,3,51,0,0,2,10,62,61,0,4,34,7,33,9,3,26,9,25,3,0,5,28,39,80,0,5,3,9,0,6,1,18,12,8,1,42,47,2,0,51,2,31,132,7,22,43,18,4,6,282,36,134,0,48,0,6,29,68,0,4,12,28,0,3,5,3,19,53,47,0,35,74,3,47,8,8,1,0,27,32
"Cell2",0,49,1,10,7,26,0,0,1,28,25,36,0,8,19,2,50,3,0,15,10,41,6,1,0,16,32,50,0,7,0,17,0,7,0,9,8,1,0,62,47,6,2,21,6,30,131,4,4,43,16,0,5,237,22,104,0,45,0,13,42,102,0,1,4,29,0,7,3,4,5,94,47,0,35,56,10,40,1,7,11,1,13,14
"Cell3",0,31,0,14,3,35,0,0,2,27,56,36,0,4,39,13,26,2,2,30,3,18,0,2,3,35,27,50,0,5,0,1,0,6,1,5,1,0,0,33,46,2,0,37,5,25,121,2,4,58,8,1,6,197,14,108,0,47,0,8,32,54,3,0,12,39,0,1,4,0,4,72,36,0,18,50,14,39,3,7,3,0,7,27
"Cell4",0,38,0,8,1,24,0,0,0,20,30,29,0,3,23,17,15,4,4,14,8,21,5,2,0,30,24,51,0,5,1,7,2,6,2,13,6,1,0,35,35,1,0,24,0,37,130,0,6,33,12,7,1,289,24,83,0,34,0,1,20,51,1,0,5,21,1,10,1,1,5,52,40,0,23,37,16,38,0,6,3,0,5,31
"Cell5",0,74,0,27,8,37,1,0,1,36,80,69,0,5,27,23,51,8,0,46,9,28,5,3,2,45,59,114,0,5,0,6,1,14,3,9,6,2,0,69,50,3,1,58,10,40,235,3,10,86,20,2,5,450,29,181,0,85,2,20,67,83,1,3,9,24,0,4,3,0,7,74,79,0,30,111,23,38,0,36,3,2,10,35
"Cell6",0,20,4,25,1,28,0,0,10,16,43,55,0,9,28,5,37,0,2,39,8,5,2,1,1,30,25,16,0,9,2,4,0,6,0,8,3,3,0,38,23,5,0,29,6,21,141,5,3,77,14,1,4,236,19,102,0,52,0,6,27,58,3,2,11,19,0,12,3,0,4,73,67,0,13,51,11,26,0,11,8,2,15,9
"Cell7",0,52,1,17,9,57,3,0,0,30,54,58,0,7,31,6,53,0,9,18,2,24,5,2,2,18,20,71,0,11,0,12,0,12,0,8,2,0,0,52,84,2,0,32,1,40,164,0,12,52,11,10,0,306,31,141,0,42,2,13,25,101,7,1,6,31,0,11,8,3,5,52,30,0,37,70,48,47,0,6,2,1,15,12
"Cell8",0,30,0,10,3,22,0,0,10,16,65,53,0,2,36,12,33,2,3,10,1,16,4,0,0,12,19,52,0,15,0,11,0,9,0,13,1,5,0,28,35,4,0,28,1,29,138,4,4,75,5,11,10,192,14,101,0,31,0,3,15,38,2,0,7,38,0,0,9,3,0,51,23,0,47,50,23,16,2,3,7,2,11,25
"Cell9",0,65,1,28,6,28,0,0,0,18,53,50,0,7,23,18,43,2,1,14,8,14,3,0,1,23,33,49,0,11,2,18,0,18,1,5,2,2,0,68,60,5,0,39,1,23,147,4,4,62,9,9,2,240,22,76,0,73,0,14,34,71,1,1,11,25,0,3,0,5,3,67,53,0,32,50,9,14,4,11,2,1,15,15
"Cell10",0,17,1,19,2,32,0,0,2,23,56,44,0,4,13,9,50,1,0,21,9,16,2,7,0,36,35,94,0,9,0,17,4,2,1,7,1,2,0,40,92,3,0,60,6,47,206,3,4,87,25,10,5,372,26,114,0,75,0,3,46,46,1,2,7,40,0,3,1,5,10,49,37,0,39,64,14,42,0,12,4,1,15,16
"Cell11",0,49,1,5,1,25,0,0,12,16,23,35,0,5,24,4,14,3,7,19,4,21,2,0,1,23,56,92,0,7,0,6,2,11,0,1,6,3,0,26,47,6,0,33,0,48,136,12,2,63,12,14,5,292,37,126,1,61,0,5,28,40,2,0,9,28,0,1,4,2,4,56,45,0,20,79,20,37,1,6,1,0,6,28
"Cell12",0,41,2,9,7,28,6,0,6,17,58,39,0,5,35,2,41,6,3,20,14,13,5,5,2,27,27,69,0,35,0,13,2,8,2,11,6,0,0,71,93,2,0,22,6,16,166,8,7,45,6,3,1,385,28,136,0,66,0,3,25,82,0,2,10,24,0,3,8,2,21,135,64,4,40,81,25,62,2,15,1,1,17,46
"Cell13",0,48,1,16,4,29,1,0,2,26,63,73,0,13,16,7,43,6,4,39,16,32,8,1,3,44,45,115,0,12,0,10,0,6,0,12,1,9,0,82,97,4,3,39,3,42,147,0,11,92,24,5,0,436,56,126,0,108,0,4,29,88,4,12,13,55,0,4,8,1,12,75,76,0,52,49,20,60,0,10,12,0,9,35
"Cell14",0,65,0,19,3,24,7,0,4,13,35,49,1,1,25,15,33,1,2,33,3,16,0,4,1,46,12,66,1,14,0,15,4,11,0,6,9,1,0,64,70,2,0,49,5,14,184,2,3,66,8,15,4,365,12,128,8,51,0,10,19,50,0,0,11,41,0,14,2,0,14,95,30,0,34,76,19,24,4,7,7,0,12,13
"Cell15",0,47,0,15,2,14,2,0,6,33,47,39,1,4,20,8,41,0,3,12,2,10,8,0,5,16,30,41,0,9,0,3,1,0,0,11,4,0,0,50,29,9,0,30,5,26,161,6,4,47,27,4,8,272,15,144,2,57,0,10,25,64,3,5,8,24,0,3,1,3,6,58,60,0,29,60,5,37,4,7,5,2,8,27
"Cell16",0,51,3,27,2,33,0,0,9,21,49,56,0,3,35,11,39,1,2,20,17,15,7,2,2,24,24,33,0,12,0,13,0,7,0,7,7,5,2,37,69,7,0,49,1,25,139,4,5,65,10,6,9,318,21,166,0,61,0,5,33,77,1,0,7,27,0,8,1,1,11,64,49,0,32,66,20,49,1,4,1,0,10,37
"Cell17",0,42,9,22,2,23,1,0,4,21,54,33,1,3,24,9,49,2,1,20,14,22,2,8,2,24,28,73,0,10,0,6,0,8,1,12,5,3,0,36,54,1,1,29,6,21,167,2,8,73,17,2,5,252,8,96,0,74,0,6,46,83,1,2,1,37,0,1,2,5,9,53,43,0,39,49,16,30,0,19,3,0,6,21
"Cell18",0,54,1,10,2,54,2,0,2,16,46,62,2,3,15,4,18,0,3,33,3,25,1,1,1,18,25,46,0,9,0,11,0,4,0,6,2,1,1,37,33,2,0,40,1,15,150,3,4,39,27,1,5,305,29,116,0,75,0,9,19,38,2,4,9,25,0,5,0,8,11,59,32,0,48,51,19,31,1,15,11,0,19,22
"Cell19",0,23,0,15,5,30,0,0,0,18,37,32,0,1,10,5,25,1,4,7,6,16,1,3,3,13,41,44,0,2,0,5,1,9,0,4,3,1,0,16,40,3,0,22,2,17,115,0,1,53,5,4,2,185,15,58,0,39,0,8,10,72,1,0,3,10,0,4,1,1,3,46,32,0,11,18,18,30,1,6,4,0,4,19
"Cell20",0,38,0,11,4,36,1,0,4,23,33,39,0,1,28,17,29,7,2,21,7,20,0,1,2,25,32,43,0,9,1,10,0,3,0,10,5,2,1,42,68,1,0,38,9,10,115,7,4,49,5,3,0,247,32,99,0,64,0,12,34,53,1,4,9,22,0,13,5,3,10,60,52,0,27,57,9,40,0,7,5,1,29,21
"Cell21",0,33,0,29,6,20,0,0,2,22,51,50,0,8,16,4,33,2,5,20,3,9,0,1,3,19,26,63,0,6,0,4,1,3,2,23,7,4,0,47,84,13,0,35,3,30,119,3,1,65,10,1,5,159,21,84,0,49,1,2,22,68,3,0,7,24,0,3,3,3,4,43,42,1,31,73,9,31,4,7,1,1,16,24
"Cell22",0,63,0,22,0,37,0,0,0,23,67,43,0,8,29,14,49,0,5,35,5,23,2,1,0,23,31,54,0,21,0,17,2,6,3,5,0,0,0,61,52,1,0,45,7,25,129,2,12,65,6,1,11,257,18,106,0,67,0,6,29,87,3,5,9,19,0,17,3,6,3,54,68,0,21,41,18,38,1,9,7,2,25,15
"Cell23",0,40,0,21,9,49,0,0,6,12,59,39,1,6,29,10,43,0,1,27,4,16,7,4,2,27,23,63,0,2,1,7,0,3,1,6,1,6,0,30,72,4,0,39,6,19,177,2,8,60,21,4,10,288,32,104,0,66,0,6,30,78,6,1,10,35,0,3,5,6,10,74,74,0,31,82,14,30,0,5,1,3,12,28
"Cell24",0,38,3,19,2,34,1,0,3,17,100,85,0,3,25,8,42,3,11,31,7,43,6,8,3,33,19,85,0,4,0,10,4,3,1,6,1,5,0,66,60,10,0,50,2,29,174,1,12,114,30,2,9,345,36,143,0,132,0,9,30,101,3,0,9,46,0,4,3,8,8,78,77,1,33,66,13,29,1,7,1,2,16,41
"Cell25",0,44,1,14,8,46,1,0,0,23,69,85,0,10,25,9,40,3,3,20,8,12,1,1,2,30,32,79,0,4,0,20,3,13,2,7,4,1,0,77,47,4,0,20,7,27,182,2,6,54,13,8,7,258,37,177,0,75,0,13,39,86,1,0,9,29,0,12,0,5,4,72,77,0,35,48,18,34,0,7,2,1,13,18
"Cell26",0,22,0,21,1,41,2,0,2,37,44,46,4,12,31,12,33,9,3,10,7,12,9,1,1,18,29,45,0,5,0,11,2,16,4,17,3,6,0,46,60,1,0,27,7,28,75,0,6,58,10,7,2,254,18,114,0,58,0,5,32,73,3,2,7,18,0,2,7,2,9,58,43,0,46,50,14,16,3,7,5,1,20,24
"Cell27",0,34,0,20,3,44,1,0,0,29,46,60,0,5,31,6,39,0,4,22,7,31,6,4,0,28,44,83,0,4,0,10,0,10,0,11,5,2,0,67,80,4,0,34,0,24,133,1,0,83,15,4,10,252,39,95,0,74,0,2,23,72,5,1,17,28,0,6,5,7,9,153,51,0,40,97,14,57,5,3,9,2,14,38
"Cell28",0,40,0,23,4,46,1,0,1,14,51,61,1,8,35,10,39,0,1,9,3,36,3,1,1,23,65,71,0,6,0,9,2,10,0,5,3,2,0,80,44,3,0,72,6,21,192,0,8,76,23,3,9,300,21,98,0,69,0,20,26,81,0,0,5,26,0,15,7,6,10,54,41,1,37,58,28,31,5,10,4,0,28,19
"Cell29",0,27,0,4,2,17,2,0,4,17,48,34,0,1,15,4,24,1,1,8,2,18,0,0,1,20,44,56,0,6,0,7,0,4,0,8,5,1,0,42,43,12,0,28,2,13,83,0,6,73,7,1,1,189,16,57,0,56,0,11,18,28,2,1,7,20,0,3,1,5,7,59,31,0,13,39,12,13,1,0,6,2,9,30
"Cell30",0,35,0,8,0,37,1,0,1,15,53,33,0,1,23,8,45,3,1,21,10,28,2,3,1,23,22,69,0,5,0,8,0,1,1,1,2,0,1,46,81,5,0,55,2,22,103,0,6,48,12,1,4,175,12,111,0,46,0,5,13,54,3,0,8,22,0,7,1,3,8,28,35,0,32,46,15,19,0,3,2,1,5,17
"Cell31",0,25,1,19,4,19,1,0,8,14,77,64,0,5,59,16,61,3,2,21,5,21,7,2,2,22,34,68,0,15,2,24,0,10,1,11,3,1,0,88,76,6,0,44,12,34,167,3,3,80,8,9,16,393,41,141,0,72,0,6,44,60,5,0,10,37,0,5,6,1,15,103,60,0,42,102,35,67,0,7,3,0,10,46
"Cell32",0,43,0,13,2,36,2,0,2,32,57,37,1,3,18,12,48,1,3,32,1,13,7,7,4,23,29,58,0,6,0,12,0,3,0,5,5,3,0,67,63,4,0,37,2,20,149,1,11,99,16,2,4,324,30,111,2,50,0,7,36,72,8,1,12,33,0,22,0,1,7,44,57,0,21,94,5,21,2,10,1,0,11,26
"Cell33",0,41,1,39,5,56,1,0,4,36,52,44,0,13,28,7,24,4,3,30,14,20,5,1,0,20,15,102,0,16,0,8,0,15,2,7,3,0,0,52,42,6,1,35,1,46,155,2,5,66,15,0,1,314,44,142,0,70,0,7,34,110,5,3,12,43,0,2,3,5,15,64,81,1,30,69,12,54,6,2,5,0,15,27
"Cell34",0,31,0,5,0,7,0,0,1,15,53,42,0,5,7,11,34,0,3,23,7,15,1,2,1,6,23,56,0,3,1,14,3,7,0,4,3,0,0,26,45,1,0,22,10,21,93,3,2,30,10,7,2,166,10,95,0,42,0,6,21,75,2,1,3,10,1,4,4,0,10,37,30,0,20,44,6,21,5,7,0,0,10,32
"Cell35",0,65,0,18,2,48,0,0,5,29,64,69,0,18,49,17,43,1,2,21,5,10,5,0,3,36,37,112,0,11,0,16,0,16,1,12,8,4,2,47,75,6,0,38,12,76,220,5,10,91,16,6,3,370,19,185,0,74,0,8,39,81,2,3,7,27,0,4,2,10,5,93,47,0,33,110,24,44,2,18,1,1,14,36
"Cell36",0,41,0,27,3,21,0,0,2,26,24,31,0,3,43,8,24,3,3,12,7,32,3,4,2,34,41,40,0,10,0,14,0,6,3,7,3,0,0,29,43,1,0,34,3,19,163,3,1,108,12,1,8,172,31,70,1,44,0,8,26,94,2,4,2,21,0,17,0,3,7,40,46,0,18,40,15,42,4,7,1,0,14,33
