"","x"
"1",18999
"2",24422
"3",19288
"4",5073
"5",4493
"6",32703
"7",6587
"8",13733
"9",16113
"10",27553
"11",9003
"12",10710
"13",545
"14",10416
"15",24088
"16",557
"17",29533
"18",14781
"19",28574
"20",28868
"21",24980
"22",30895
"23",21121
"24",31967
"25",7231
"26",29224
"27",13186
"28",13967
"29",15067
"30",1817
"31",16545
"32",13158
"33",17134
"34",18751
"35",18870
"36",12526
"37",10641
"38",30656
"39",20185
"40",22068
"41",10422
"42",22538
"43",25199
"44",16089
"45",29915
"46",19153
"47",27788
"48",4470
"49",20934
"50",1859
"51",10364
"52",13903
"53",24803
"54",23770
"55",17472
"56",6829
"57",8172
"58",10418
"59",29027
"60",491
"61",17534
"62",32482
"63",13179
"64",43
"65",7948
"66",30562
"67",10458
"68",15412
"69",19155
"70",31910
"71",10690
"72",1110
"73",10611
"74",18504
"75",29111
"76",17693
"77",3295
"78",8803
"79",9601
"80",1556
"81",5657
"82",19803
"83",2628
"84",4396
"85",9843
"86",24674
"87",13779
"88",12525
"89",32374
"90",2758
"91",26259
"92",13383
"93",4041
"94",7532
"95",22045
"96",13857
"97",14010
"98",28401
"99",687
"100",10433
